Internal1,Internal1,Internal1,Internal2,Internal2,Internal2,Internal3,Internal3,Internal3,Internal4,Internal4,Internal4
370.956,1122.11,134.944,376.902,1085.52,135.032,362.401,1065.25,122.244,376.985,1122.87,99.7906
370.96,1122.09,134.944,376.9,1085.52,135.008,362.401,1065.26,122.231,376.989,1122.88,99.7898
370.951,1122.08,134.941,376.901,1085.52,135.015,362.413,1065.24,122.246,376.99,1122.94,99.9078
370.957,1122.09,134.929,376.905,1085.52,135.016,362.408,1065.26,122.231,376.968,1122.87,99.8489
370.966,1122.1,134.943,376.906,1085.52,135.028,362.409,1065.26,122.231,377.014,1122.91,99.8448
370.946,1122.1,134.942,376.907,1085.51,135.015,362.403,1065.25,122.227,376.967,1122.87,99.839
370.951,1122.09,134.945,376.911,1085.52,135.016,362.404,1065.25,122.243,376.967,1122.87,99.8517
370.955,1122.09,134.954,376.916,1085.52,135.016,362.403,1065.26,122.229,377.019,1122.92,99.8386
370.977,1122.08,134.935,376.91,1085.5,135.006,362.415,1065.25,122.227,376.966,1122.86,99.8355
370.952,1122.08,134.927,376.911,1085.5,135.018,362.417,1065.27,122.222,376.969,1122.86,99.8243
370.954,1122.07,134.916,376.874,1085.49,135.011,362.404,1065.24,122.238,376.965,1122.87,99.8354
370.961,1122.09,134.947,376.91,1085.51,135.024,362.406,1065.25,122.238,377.019,1122.92,99.8188
370.949,1122.06,134.924,376.91,1085.51,135.005,362.405,1065.25,122.253,376.983,1122.86,99.8154
370.977,1122.07,134.936,376.917,1085.5,135.007,362.411,1065.25,122.239,376.988,1122.86,99.8057
370.966,1122.08,134.945,376.895,1085.49,135.017,362.401,1065.23,122.237,376.981,1122.87,99.8096
370.969,1122.07,134.923,376.903,1085.49,135.011,362.411,1065.24,122.242,377.034,1122.91,99.7901
370.957,1122.05,134.916,376.864,1085.48,135.003,362.408,1065.24,122.226,376.992,1122.85,99.789
370.965,1122.08,134.925,376.88,1085.5,135.025,362.404,1065.23,122.242,377.034,1122.91,99.7979
370.966,1122.08,134.938,376.875,1085.49,135.021,362.406,1065.24,122.237,377.154,1122.73,99.7364
370.978,1122.06,134.91,376.901,1085.52,135.019,362.401,1065.23,122.242,377.151,1122.74,99.7556
370.939,1122.08,134.954,376.872,1085.5,135.029,362.403,1065.24,122.249,377.144,1122.73,99.7446
370.945,1122.06,134.923,376.915,1085.51,135.028,362.405,1065.23,122.238,376.995,1122.86,99.7906
370.963,1122.08,134.933,376.921,1085.5,135.014,362.402,1065.24,122.249,376.994,1122.85,99.7896
370.966,1122.09,134.946,376.902,1085.5,135.022,362.393,1065.23,122.242,376.984,1122.86,99.8081
370.948,1122.06,134.919,376.91,1085.5,135.018,362.418,1065.25,122.243,376.984,1122.86,99.8047
370.946,1122.07,134.945,376.911,1085.5,135.01,362.405,1065.24,122.236,376.986,1122.86,99.7896
370.936,1122.08,134.937,376.895,1085.51,135.021,362.402,1065.22,122.242,376.997,1122.85,99.8005
370.953,1122.09,134.937,376.916,1085.51,135.02,362.397,1065.23,122.247,376.988,1122.86,99.7984
370.967,1122.09,134.915,376.958,1085.47,134.979,362.396,1065.24,122.249,377.032,1122.9,99.7949
370.95,1122.08,134.92,376.924,1085.5,135.011,362.395,1065.24,122.234,377.028,1122.91,99.8
370.956,1122.09,134.944,376.939,1085.49,134.996,362.376,1065.22,122.242,376.988,1122.87,99.7932
370.952,1122.09,134.944,376.925,1085.52,135.006,362.406,1065.24,122.241,376.992,1122.86,99.7831
370.949,1122.08,134.924,376.915,1085.5,135.021,362.39,1065.25,122.233,376.994,1122.86,99.7906
370.95,1122.08,134.94,376.914,1085.5,135.012,362.382,1065.24,122.239,377.031,1122.91,99.7966
370.952,1122.09,134.935,376.922,1085.49,134.997,362.402,1065.25,122.241,376.979,1122.87,99.7867
370.948,1122.1,134.941,376.91,1085.51,135.01,362.412,1065.25,122.242,376.989,1122.86,99.7871
370.926,1122.09,134.95,376.907,1085.51,135.007,362.405,1065.25,122.249,376.983,1122.87,99.7886
370.925,1122.08,134.943,376.915,1085.51,135.006,362.394,1065.23,122.257,377.029,1122.92,99.8001
370.957,1122.09,134.935,376.905,1085.51,135.007,362.398,1065.27,122.243,376.978,1122.86,99.7887
370.954,1122.1,134.937,376.912,1085.51,135.01,362.409,1065.25,122.256,377.028,1122.92,99.7895
370.956,1122.1,134.941,376.91,1085.53,135.007,362.382,1065.26,122.248,376.984,1122.87,99.798
370.956,1122.09,134.936,376.901,1085.53,135.013,362.386,1065.26,122.245,376.991,1122.87,99.7956
370.938,1122.09,134.944,376.924,1085.52,135.011,362.386,1065.27,122.253,376.98,1122.87,99.785
370.957,1122.09,134.941,376.9,1085.53,135.025,362.394,1065.26,122.257,377.027,1122.92,99.7914
370.95,1122.09,134.946,376.902,1085.52,135.008,362.389,1065.25,122.239,376.98,1122.87,99.7833
370.952,1122.09,134.949,376.911,1085.54,135.005,362.396,1065.26,122.24,376.982,1122.88,99.8036
370.969,1122.09,134.935,376.906,1085.52,135.013,362.39,1065.27,122.231,377.031,1122.92,99.7982
370.947,1122.09,134.936,376.925,1085.5,135,362.41,1065.25,122.239,376.987,1122.87,99.7915
370.954,1122.1,134.944,376.9,1085.52,135.009,362.381,1065.25,122.234,376.98,1122.87,99.8104
370.95,1122.07,134.926,376.904,1085.52,135.015,362.397,1065.25,122.244,376.985,1122.86,99.8052
370.96,1122.1,134.942,376.916,1085.51,134.995,362.391,1065.25,122.233,376.978,1122.87,99.8009
370.947,1122.08,134.928,376.9,1085.5,135.016,362.387,1065.25,122.228,376.984,1122.86,99.7868
370.966,1122.09,134.947,376.906,1085.52,135.008,362.401,1065.25,122.236,377.022,1122.92,99.7945
370.965,1122.08,134.932,376.907,1085.52,135.003,362.401,1065.26,122.241,377.035,1122.91,99.7979
370.949,1122.09,134.947,376.901,1085.51,135.013,362.401,1065.24,122.233,376.993,1122.87,99.7893
370.948,1122.08,134.938,376.918,1085.52,135.004,362.407,1065.24,122.24,376.992,1122.86,99.7859
370.949,1122.1,134.949,376.91,1085.52,135.02,362.411,1065.23,122.236,376.988,1122.86,99.7913
370.953,1122.09,134.955,376.909,1085.52,135.016,362.399,1065.24,122.251,376.986,1122.87,99.8009
370.955,1122.08,134.941,376.901,1085.51,135.007,362.399,1065.24,122.241,376.982,1122.87,99.8019
370.968,1122.07,134.902,376.871,1085.48,135,362.4,1065.23,122.248,376.989,1122.87,99.8058
370.939,1122.07,134.931,376.904,1085.51,135.019,362.397,1065.24,122.247,376.99,1122.86,99.7855
370.975,1122.08,134.947,376.909,1085.49,135.017,362.406,1065.24,122.235,376.987,1122.85,99.7986
370.958,1122.08,134.943,376.898,1085.5,135.029,362.391,1065.24,122.243,376.986,1122.86,99.7931
370.976,1122.07,134.942,376.888,1085.5,135.016,362.406,1065.24,122.241,376.937,1122.86,99.9156
370.966,1122.09,134.947,376.894,1085.5,135.022,362.399,1065.23,122.245,376.965,1122.86,99.842
370.965,1122.09,134.952,376.907,1085.51,135.008,362.402,1065.24,122.239,377.002,1122.92,99.9052
370.955,1122.09,134.961,376.91,1085.49,135.022,362.393,1065.23,122.253,376.963,1122.85,99.8424
370.959,1122.06,134.914,376.911,1085.51,134.996,362.394,1065.23,122.251,377.017,1122.91,99.8497
370.949,1122.09,134.951,376.902,1085.5,135.021,362.407,1065.24,122.244,376.972,1122.86,99.8428
370.974,1122.09,134.952,376.904,1085.51,135.022,362.4,1065.24,122.243,377.013,1122.91,99.8464
370.959,1122.09,134.942,376.922,1085.5,135.019,362.396,1065.23,122.247,377.011,1122.91,99.839
370.943,1122.08,134.94,376.92,1085.53,134.991,362.418,1065.24,122.247,376.974,1122.86,99.8331
370.969,1122.1,134.948,376.924,1085.51,135.008,362.408,1065.24,122.249,376.979,1122.86,99.8349
370.949,1122.08,134.943,376.914,1085.52,135.016,362.415,1065.25,122.251,376.943,1122.86,99.9076
370.981,1122.06,134.895,376.956,1085.47,134.951,362.395,1065.25,122.235,376.969,1122.85,99.8479
370.955,1122.09,134.94,376.934,1085.5,135.011,362.416,1065.24,122.238,376.943,1122.87,99.9063
370.964,1122.09,134.933,376.925,1085.5,135.009,362.39,1065.24,122.254,377.016,1122.92,99.8295
370.971,1122.08,134.949,376.931,1085.5,135,362.414,1065.24,122.237,376.964,1122.86,99.8464
370.949,1122.08,134.951,376.936,1085.5,135.008,362.409,1065.25,122.243,377.006,1122.92,99.8519
370.961,1122.08,134.941,376.935,1085.5,135.004,362.411,1065.25,122.239,376.935,1122.88,99.9063
370.94,1122.08,134.936,376.927,1085.5,135.008,362.405,1065.23,122.247,376.967,1122.86,99.8481
370.952,1122.1,134.956,376.93,1085.5,135.014,362.4,1065.25,122.237,376.972,1122.87,99.8475
370.969,1122.09,134.946,376.923,1085.52,135.015,362.416,1065.24,122.25,376.967,1122.87,99.8523
370.953,1122.09,134.956,376.929,1085.52,135.019,362.409,1065.23,122.229,376.968,1122.88,99.8614
370.953,1122.1,134.944,376.925,1085.51,134.993,362.388,1065.23,122.243,377.007,1122.93,99.8316
370.975,1122.09,134.937,376.911,1085.52,135.014,362.407,1065.25,122.24,376.937,1122.88,99.9108
370.954,1122.1,134.948,376.929,1085.51,135.008,362.413,1065.24,122.231,376.962,1122.87,99.8442
370.943,1122.09,134.954,376.915,1085.52,135.016,362.409,1065.25,122.242,376.964,1122.87,99.8482
370.948,1122.09,134.953,376.905,1085.52,135.006,362.392,1065.24,122.233,376.963,1122.87,99.8456
370.938,1122.09,134.945,376.911,1085.52,135.017,362.411,1065.25,122.243,376.962,1122.87,99.8455
370.964,1122.1,134.928,376.912,1085.51,135.01,362.386,1065.25,122.236,377.012,1122.92,99.8404
370.961,1122.1,134.935,376.912,1085.53,135.014,362.389,1065.23,122.237,376.965,1122.87,99.8344
370.966,1122.09,134.954,376.908,1085.51,135.008,362.41,1065.25,122.246,377.016,1122.92,99.8215
370.967,1122.1,134.946,376.909,1085.53,135.02,362.414,1065.25,122.238,376.964,1122.86,99.8237
370.941,1122.11,134.95,376.914,1085.52,135.007,362.394,1065.24,122.235,376.974,1122.87,99.8301
370.947,1122.08,134.925,376.892,1085.51,135.013,362.404,1065.25,122.247,376.976,1122.88,99.8198
370.963,1122.1,134.947,376.906,1085.52,135.007,362.401,1065.24,122.247,377.011,1122.93,99.8045
370.958,1122.08,134.933,376.938,1085.5,134.995,362.403,1065.23,122.228,376.972,1122.87,99.8081
370.96,1122.09,134.948,376.9,1085.53,135.009,362.421,1065.24,122.22,377.034,1122.93,99.8075
370.953,1122.09,134.941,376.918,1085.52,135.008,362.393,1065.24,122.241,376.985,1122.88,99.7931
370.966,1122.09,134.947,376.956,1085.51,134.988,362.412,1065.25,122.234,377.036,1122.91,99.7966
370.982,1122.09,134.945,376.942,1085.51,135,362.432,1065.24,122.238,377.003,1122.85,99.7818
371.032,1122.09,134.937,376.99,1085.51,135.005,362.415,1065.16,122.278,377.086,1122.9,99.7714
371.114,1122.07,134.924,377.058,1085.5,134.992,362.511,1065.23,122.239,377.092,1122.86,99.7755
371.207,1122.09,134.897,377.156,1085.52,134.985,362.607,1065.23,122.231,377.216,1122.91,99.7715
371.29,1122.08,134.885,377.316,1085.48,134.961,362.691,1065.26,122.229,377.31,1122.89,99.7373
371.538,1122.06,134.799,377.545,1085.45,134.914,362.813,1065.28,122.225,377.59,1123.11,99.81
371.673,1122.07,134.795,377.811,1085.43,134.963,362.952,1065.31,122.191,377.697,1123.14,99.8494
371.857,1122.07,134.761,377.954,1085.43,134.946,363.113,1065.3,122.192,377.934,1123.18,99.7851
371.901,1122.14,134.78,377.889,1085.67,134.935,363.307,1065.3,122.191,378.075,1123.26,99.8713
372.018,1122.1,134.821,378.258,1085.59,135.01,363.466,1065.31,122.179,378.291,1123.42,99.9096
372.19,1122.1,134.811,378.429,1085.59,135.007,363.703,1065.33,122.18,378.377,1123.34,99.8899
372.407,1122.1,134.811,378.525,1085.56,134.908,363.843,1065.33,122.195,378.612,1123.48,99.886
372.59,1122.08,134.798,378.688,1085.66,134.645,364.034,1065.28,122.221,378.769,1123.44,99.9045
372.744,1122.06,134.851,378.931,1085.48,134.651,364.21,1065.24,122.224,378.885,1123.49,99.9039
372.887,1122.03,134.8,379.033,1085.67,134.613,364.547,1065.2,122.167,379,1123.46,99.8855
373.08,1122.03,134.795,379.168,1085.62,134.599,364.674,1065.19,122.17,379.015,1123.28,99.9678
